id,employee_name,module_1,module_2,module_3,module_4,module_5,module_6,module_7,module_8,module_9,module_10
1,Dael Iacobacci,not_started,in_progress,not_started,complete,in_progress,in_progress,in_progress,complete,in_progress,not_started
2,Amelie Stockdale,complete,not_started,complete,complete,not_started,in_progress,in_progress,in_progress,complete,in_progress
3,Bibby Crayton,complete,complete,complete,in_progress,complete,complete,not_started,in_progress,complete,in_progress
4,Bronny Gerlack,in_progress,not_started,complete,not_started,not_started,in_progress,in_progress,in_progress,complete,in_progress
5,Annette Cumbers,in_progress,not_started,complete,in_progress,not_started,complete,in_progress,not_started,not_started,in_progress
6,Benn Grzesiak,in_progress,not_started,complete,in_progress,in_progress,not_started,in_progress,in_progress,in_progress,not_started
7,Renado Freire,in_progress,in_progress,in_progress,not_started,complete,in_progress,not_started,complete,complete,not_started
8,Ronalda Sweet,in_progress,not_started,in_progress,in_progress,complete,not_started,complete,not_started,complete,not_started
9,Frannie Algeo,in_progress,complete,complete,complete,in_progress,in_progress,not_started,complete,complete,in_progress
10,Denis Hearthfield,in_progress,in_progress,not_started,not_started,not_started,complete,not_started,in_progress,not_started,in_progress
11,Ozzy Lentsch,complete,not_started,not_started,in_progress,not_started,in_progress,complete,not_started,in_progress,not_started
12,Eugenius Woodfin,complete,complete,complete,complete,in_progress,not_started,in_progress,in_progress,in_progress,complete
13,Edan Scales,complete,in_progress,in_progress,complete,in_progress,in_progress,in_progress,in_progress,not_started,complete
14,Kipp Prando,not_started,in_progress,not_started,not_started,not_started,in_progress,complete,in_progress,in_progress,not_started
15,Abbe Mixon,not_started,complete,not_started,complete,not_started,not_started,not_started,complete,complete,in_progress
16,Korella Valde,not_started,complete,in_progress,complete,in_progress,not_started,complete,complete,in_progress,complete
17,Alejoa Grimme,in_progress,in_progress,in_progress,in_progress,complete,in_progress,in_progress,not_started,complete,complete
18,Ameline Ilymanov,not_started,not_started,not_started,in_progress,complete,not_started,complete,not_started,complete,complete
19,Silvana Bendig,not_started,in_progress,complete,in_progress,complete,in_progress,not_started,not_started,not_started,in_progress
20,Rodina Barczewski,not_started,complete,complete,not_started,not_started,not_started,complete,not_started,not_started,not_started
21,Mirella Bidwell,complete,in_progress,complete,complete,not_started,complete,in_progress,not_started,not_started,not_started
